word,meaning,translation,root,type,process meaning,normalized form
1a,"interjection marking hesitation, agreement, disagreement, etc.",a,1a,-,-,1a
2a,"linking particle, uniting adjectives or descriptive phrases with verbs and nouns, relative sentences to main sentence, etc. (also ya )",a,2a,-,-,2a
-n,form of a following a vowel,n,-n,-,-,-n
ababués,"gone, departed",left quickly,abués,reduplication,partial reduplication (plural nouns),ababues
ábak,to consume too much,waste,ábak,-,-,abak
ábakábak,to be (an) auspicious (time) for formally finalizing a marriage arrangement between the families of the bride and groom (man -),,ábak,reduplication,partial reduplication (plural nouns),abakabak
abakáda,alphabet,alphabet,abaká,suffix,3pl genitive enclitic,abakada
abalá,shoulder,shoulder,abalá,-,-,abala
abála,"be busy or occupied; to annoy, be a disturbance (man -)",busy,abála,-,-,abala
abalayán,"co-parent-in-law, i.e. the relationship holding between the parents of the bride and those of the groom (term of address and reference)",parent-in-law,abalayán,-,-,abalayan
sanaabalayán,the parents of the bride and groom (collectively),parent-in-laws,sanaabalayán,-,-,sanaabalayan
abaníco,fan,fan,abaníco,-,-,abanico
ábang,"rent, interest",rent,ábang,-,-,abang
abásto,supplies,supplies,abás,suffix,3sg genitive enclitic,abasto
ábay,"side, proximity; to approach, go near person or object close by (on -); put beside (i-)",side,ábay,-,-,abay
kaábay (pl. kabkaábay),person or object close by; neighbor,beside,kaábay (pl. kabkaábay),-,-,kaabay
sanábay (pl. sanáabay),relative,relative,sanábay (pl. sanáabay),-,-,sanabay
abél,cloth,cloth,abél,-,-,abel
abét,to meet (on -),meet,abét,-,-,abet
abétabét,reenactment of Christ’s meeting with his mother after the resurrection,,abét,reduplication,partial reduplication (plural nouns),abetabet
paabét,to give as a gift,give,abét,nasal_prefix,causative/instrumental nasal-assimilating,paabet
aviadór,pilot,pilot,aviadór,-,-,aviador
ábig,"good, fine; be well (on -)",good,ábig,-,-,abig
maábig,"good, fine, well, sound, healthy",fine,ábig,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maabig
mabábig,agreeable,agreeable,bábig,prefix,causative / stative,mababig
makapaábig,"be pleasant, agreeable to one",agreeable to one,kapaábig,prefix,causative / stative,makapaabig
kabkaabigán,just right,just right,kabkaabigán,-,-,kabkaabigan
pamaábig,"betterment (of community, town, etc.)",betterment,ábig,nasal_prefix,causative/instrumental nasal-assimilating,pamaabig
abilidád,ability,ability,abilidád,-,-,abilidad
abóbon,"agree, consent, approve",agree,abóbon,-,-,abobon
abóbot,"article, things",things,abóbot,-,-,abobot
abogádo,lawyer,lawyer,abogádo,-,-,abogado
abóloy,readily allow or agree to (on -),agree,abóloy,-,-,aboloy
aboloyán,agreement,agreement,aboloyán,-,-,aboloyan
abúno,fertilizer,fertilizer,abúno,-,-,abuno
abóng,"home, house, dwelling; set up house (man -)",house,abóng,-,-,abong
paabóng,feel at home; make (one) at home,feel at home,abóng,nasal_prefix,causative/instrumental nasal-assimilating,paabong
sankaabongán,"neighbors, people from same locality",neighbors,sankaabongán,-,-,sankaabongan
aborído,"distraught; ill at ease, worried",distraught,aborído,-,-,aborido
aboróg,"rash of red spots on skin caused by allergic reaction to somethingn eaten, esp. fruit",rash,aboróg,-,-,aborog
abosádo,throw a tantrum (man -),tantrum,abosádo,-,-,abosado
ábot,to catch up (with),catch up,ábot,-,-,abot
abót,"hole, pit; dig a hole (man -)",hole,abót,-,-,abot
abracÉtE,to hold someone by grasping the upper arms,grasp,abracÉtE,-,-,abracete
abríl,April,april,abríl,-,-,abril
adiós,goodbye,goodbye,adiós,-,-,adios
admíra,to admire,admire,admíra,-,-,admira
aduána,Bureau of Internal Revenue,Bureau of Internal Revenue,aduána,-,-,aduana
adóbo,"way of preparing meat by cooking with vinegar, spices, etc.",adobo,adóbo,-,-,adobo
adórno,"to decorate, garnish",garnish,adórno,-,-,adorno
aeropláno,airplane,airplane,eropláno,nasal_prefix,"actor focus (nasal-assimilating, completed)",aeroplano
ag,"not (usually phonologically bound to following word, as in ag ák‘not I’)",no,ag,-,-,ag
agá,"(ag+ 3rd pers. singular pronoun) not he, she, it",not,agá,-,-,aga
agáag,"of light: to be bright, widely distributed",be bright,agáag,-,-,agaag
agága,"attracted, become attracted (on -)",attracted,agága,-,-,agaga
agagá,to miss,miss,agá,reduplication,partial reduplication (plural nouns),agaga
agamáng,small shrimp; seasoning made from salted agamáng,small shrimp,agamáng,-,-,agamang
agát,ginger,ginger,agát,-,-,agat
agáy,exclamation of surprise ‘how indeed!’,how indeed!,agáy,-,-,agay
agáyep,string beans,string beans,agáyep,-,-,agayep
agél,"zeal, care, conscientiousness; take care, etc. (mañgi -)",care,agél,-,-,agel
1ágew,day,day,1ágew,-,-,1agew
"ágewágew, inágewágew","daily, every day",everyday,"ágew, ágewágew",infix,completed aspect marker,"agewagew, inagewagew"
2ágew,"sun; be light, sunny (on -)",sun,2ágew,-,-,2agew
agéyet,mosquito; be bitten by mosquitoes (-en ),mosquito,agéyet,-,-,ageyet
maagéyet,infested with mosquitoes,infested with mosquitoes,agéyet,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maageyet
1agí,younger sibling or other person of same generation,sibling,1agí,-,-,1agi
2agí,"interjection of alarm: ‘alas’, ‘ouch!’","""oops!""",2agí,-,-,2agi
ágila,eagle,eagle,ágila,-,-,agila
aginaldó,Christmas present; to go asking for presents (mi-); to carol (carolers are usually rewarded for their efforts) (man-),Christmas present,agaldó,infix,completed aspect marker,aginaldo
naaginaldó,proceeds from caroling,caroling,naagaldó,infix,completed aspect marker,naaginaldo
mísa aginaldó,misa de gallo,misa de gallo,mísa agaldó,infix,completed aspect marker,misa aginaldo
ágkit,sticky wax,sticky ,ágkit,-,-,agkit
aguá,perfume; to (apply) perfume (man -),perfume,aguá,-,-,agua
aguánta,"fast, speedy, efficient, resourceful; become fast, etc. (on-)",fast,aguán,suffix,1du inclusive genitive enclitic,aguanta
ágom,greedy,greedy,ágom,-,-,agom
maágom,very greedy,very greedy,ágom,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maagom
ágos,to flow (on -),flow,ágos,-,-,agos
aguát,"to lift out of a hole, box, etc. (maN -)",lift,aguát,-,-,aguat
agósto,August,August,agós,suffix,3sg genitive enclitic,agosto
agtó,to carry on the head (man -),carry on the head,agtó,-,-,agto
ahÉntÉ,agent,agent,"agÉntÉ,ahÉntÉ",-,-,ahente
áhit,to shave (man -),shave,áhit,-,-,ahit
ak,I (subject/topic pronoun),I ,ak,-,-,ak
ko,"(-kfollowing a vowel) by me, my",by me,ko,-,-,ko
siák,"I, me (independent pronoun)",Me,siák,-,-,siak
ákal,to recover from surprise,recover,ákal,-,-,akal
akár,"going, movement; to walk, move (man -, on-); go to (i -)",walk,akár,-,-,akar
paakár,to drive a vehicle (mañgi -),,akár,nasal_prefix,causative/instrumental nasal-assimilating,paakar
yakár,walk,walk,yakár,-,-,yakar
pamakarán,intention,intention,akarán,nasal_prefix,causative/instrumental nasal-assimilating,pamakaran
ákay,"to lead by the hand, guide thus (man -)",guide,ákay,-,-,akay
akbáb,"to put one’s chin up, incline the head forward",chin up,akbáb,-,-,akbab
akbíbit,"have within, carry with one, have with one constantly",carry with one,akbíbit,-,-,akbibit
ákin,why,why,ák,suffix,patient/theme focus (completed),akin
akír,to remove from the fire or stove,remove from fire,akír,-,-,akir
akís,"to cry (on -, man -)",cry,akís,-,-,akis
paakís,to make (someone) cry (man -),make him/her cry,akís,nasal_prefix,causative/instrumental nasal-assimilating,paakis
akdól,"to sleep with, sleep together (mi -)",sleep together,akdól,-,-,akdol
ákdot,"remove, pluek out",remove  ,ákdot,-,-,akdot
akló,"ladle, esp. paddle or wooden spoon for removing rice from the pot",ladle,akló,-,-,aklo
akmón,to swallow,swallow,akmón,-,-,akmon
áko,"to accept, receive (on -, maN -)",accept,á,suffix,1sg genitive enclitic,ako
akoál,to put on the lap (man -),put on the lap,akoál,-,-,akoal
akuláw,"old woman, married woman, wife",old woman,akuláw,-,-,akulaw
ákop,to get with both hands,get,ákop,-,-,akop
ákot,wasp,wasp,ákot,-,-,akot
akséb,"go or come down, descend (on -)",go down,akséb,-,-,akseb
akséng,acidity,sour,akséng,-,-,akseng
aksíw,to lift by means of a pole or other instrument,lift,aksíw,-,-,aksiw
aksúbi,"accept, admit",admit,aksúbi,-,-,aksubi
alá,get (maN -)‚ take (man -),get,alá,-,-,ala
