word,meaning,source,morphology,root,processes,type,meaning2,form,normalized_form
1a,"interjection marking hesitation, agreement, disagreement, etc.",Dictionary A,"{""root"":""1a"",""processes"":[]}",,,,,1a,1a
2a,"linking particle, uniting adjectives or descriptive phrases with verbs and nouns, relative sentences to main sentence, etc. (also ya )",Dictionary A,"{""root"":""2a"",""processes"":[]}",,,,,2a,2a
-n,form of a following a vowel,Dictionary A,"{""root"":""-n"",""processes"":[]}",,,,,-n,-n
ababués,"gone, departed",Dictionary A,"{""root"":""abués"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ab""}]}",,,,,ababués,ababues
ábak,to consume too much,Dictionary A,"{""root"":""ábak"",""processes"":[]}",,,,,ábak,abak
ábakábak,to be (an) auspicious (time) for formally finalizing a marriage arrangement between the families of the bride and groom (man -),Dictionary A,"{""root"":""ábak"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ábak""}]}",,,,,ábakábak,abakabak
abakáda,alphabet,Dictionary A,"{""root"":""abaká"",""processes"":[{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}]}",,,,,abakáda,abakada
abalá,shoulder,Dictionary A,"{""root"":""abalá"",""processes"":[]}",,,,,abalá,abala
abála,"be busy or occupied; to annoy, be a disturbance (man -)",Dictionary A,"{""root"":""abála"",""processes"":[]}",,,,,abála,abala
abalayán,"co-parent-in-law, i.e. the relationship holding between the parents of the bride and those of the groom (term of address and reference)",Dictionary A,"{""root"":""abalayán"",""processes"":[]}",,,,,abalayán,abalayan
sanaabalayán,the parents of the bride and groom (collectively),Dictionary A,"{""root"":""sanaabalayán"",""processes"":[]}",,,,,sanaabalayán,sanaabalayan
abaníco,fan,Dictionary A,"{""root"":""abaníco"",""processes"":[]}",,,,,abaníco,abanico
ábang,"rent, interest",Dictionary A,"{""root"":""ábang"",""processes"":[]}",,,,,ábang,abang
abásto,supplies,Dictionary A,"{""root"":""abás"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",,,,,abásto,abasto
ábay,"side, proximity; to approach, go near person or object close by (on -); put beside (i-)",Dictionary A,"{""root"":""ábay"",""processes"":[]}",,,,,ábay,abay
kaábay (pl. kabkaábay),person or object close by; neighbor,Dictionary A,"{""root"":""kaábay (pl. kabkaábay)"",""processes"":[]}",,,,,kaábay (pl. kabkaábay),kaabay (pl. kabkaabay)
sanábay (pl. sanáabay),relative,Dictionary A,"{""root"":""sanábay (pl. sanáabay)"",""processes"":[]}",,,,,sanábay (pl. sanáabay),sanabay (pl. sanaabay)
abél,cloth,Dictionary A,"{""root"":""abél"",""processes"":[]}",,,,,abél,abel
abét,to meet (on -),Dictionary A,"{""root"":""abét"",""processes"":[]}",,,,,abét,abet
abétabét,reenactment of Christ’s meeting with his mother after the resurrection,Dictionary A,"{""root"":""abét"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""abét""}]}",,,,,abétabét,abetabet
paabét,to give as a gift,Dictionary A,"{""root"":""abét"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paabét,paabet
